Region,County,Town,102_1,102_2,102_3,102_4,102_5,102_6,102_7,102_8,102_9,102_10,102_11,102_12,103_1,103_2,103_3,103_4,103_5,103_6,103_7,103_8,103_9,103_10,103_11,103_12,104_1,104_2,104_3,104_4,104_5,104_6,104_7,104_8,104_9,104_10,104_11,104_12,Factory_cnt_102,Factory_cnt_103,Factory_cnt_104,Factory_employee_102,Factory_employee_103,Factory_employee_104,Factory_to_102,Factory_to_103,Factory_to_104,To_employee_102,To_employee_103,To_employee_104,To_factory_102,To_factory_103,To_factory_104,
A100080406,南投縣,竹山鎮,941757.67,847809.43,911695.54,918088.51,1057020.55,1094774.39,1116595.23,1150641.56,1019650.31,1037636.14,925987.97,554257.22,460478.0463,468919.9297,474871.1677,517498.5428,548714.0003,643730.3224,574509.1248,618376.9041,470388.4553,552270.1071,431460.831,549959.5114,457212.15,484893.40,451295.91,511284.53,534191.62,623651.02,564814.43,649537.98,486411.95,574057.24,446158.28,530231.18,48,42,41,1105,1239,1233,5043,5493,5078,4564,4434,4118,105.1,130.8,123.8,
A100080408,南投縣,竹山鎮,427044.08,391641.83,439966.42,458863.82,519850.16,564193.26,590554.05,572240.07,540917.52,482045.26,436986.52,348637.68,404866.0435,300381.1694,415010.0788,353902.5974,445523.5398,460323.2708,535798.7267,429483.0503,466175.9226,355459.7916,390703.8235,358124.4603,401994.57,310613.47,394406.66,349653.01,433732.22,445964.82,526757.26,451125.44,482055.92,369482.73,404012.91,345277.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100080409,南投縣,竹山鎮,494372.00,452533.60,490844.25,466771.68,553833.03,560537.17,587173.53,589537.83,526091.72,528308.72,448563.17,413821.80,395841.5078,373335.8238,405681.9693,412924.9148,467494.6827,519377.9298,473791.999,478943.6934,401571.9668,438511.8079,368322.4899,434560.1987,393034.04,386053.28,385541.65,407966.60,455121.87,503177.44,465796.88,503078.49,415251.27,455811.16,380869.17,418971.51,7,6,6,71,95,103,208,209,205,2929,2201,1992,29.7,34.8,34.2,
A100080411,南投縣,竹山鎮,924071.56,838255.28,931355.92,940152.66,1068119.67,1144868.84,1192039.76,1184186.45,1100088.41,994503.26,913328.10,659043.46,710051.2502,519022.8833,761224.2757,632336.027,881782.8506,829104.2861,1016554.142,744739.0007,869700.7756,653353.2818,758894.368,632070.8881,705015.28,536703.08,723432.85,624743.07,858445.40,803242.78,999400.05,782267.68,899326.60,679128.16,784745.64,609397.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100080412,南投縣,竹山鎮,727346.01,661823.02,743651.91,749977.78,809695.73,919487.34,945032.83,945885.14,883655.55,769759.84,718867.37,621766.50,648423.8337,541691.0365,684256.6003,661129.1385,738696.7128,859246.3505,897612.217,748356.2893,765142.8184,633116.6593,639470.5087,656695.4797,643824.95,560143.41,650286.28,653190.44,719146.21,832444.65,882465.24,786067.25,791206.94,658093.20,661253.68,633138.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100080414,南投縣,竹山鎮,809708.33,732354.73,822802.12,826523.36,895449.85,988680.64,1018688.28,1020159.08,951063.85,859251.84,796473.61,608183.14,628897.1022,530854.5837,682284.8727,642645.2276,745864.4763,811075.7791,872151.8803,711016.391,732990.1107,638006.9853,654559.2209,624975.3444,624436.71,548937.82,648412.44,634928.48,726124.27,785776.62,857434.54,746845.73,757958.97,663176.45,676856.38,602556.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100080416,南投縣,竹山鎮,544866.47,475664.67,526847.49,535684.16,562977.20,646856.68,663937.88,650976.79,604721.08,543118.28,507504.18,439333.05,454758.2391,397364.1728,501183.383,441722.2066,511354.7218,576389.9547,613211.9857,486293.5039,500804.1628,456261.1922,464300.788,440971.2687,451532.91,410900.14,476301.84,436418.10,497821.10,558411.14,602864.19,510798.67,517863.75,474260.76,480116.91,425152.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100080421,南投縣,竹山鎮,806749.23,790060.72,972630.12,996504.93,933615.65,854956.86,876811.34,859145.01,840766.82,916375.71,847062.51,586576.57,412059.0492,367413.8037,464868.0258,453537.2795,466879.5628,467149.4228,483296.9934,447273.6609,414542.223,430691.8465,393538.1538,426461.7276,409136.56,379929.53,441789.38,448091.30,454523.03,452578.05,475141.48,469812.55,428663.35,447682.70,406943.79,411163.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100080502,南投縣,集集鎮,491022.09,455689.52,508638.61,504376.15,528510.39,554888.56,585964.93,567990.60,545939.43,544344.99,516521.93,431754.70,447462.1825,359055.6202,463410.1907,426559.415,481519.6402,494215.3252,554260.1994,455902.9558,464406.2069,447553.8193,460556.9689,457248.1795,444288.60,371286.63,440403.92,421437.38,468775.64,478799.71,544907.20,478876.69,480225.92,465209.88,476245.56,440845.62,0,4,4,0,45,44,0,308,296,0,6852,6724,0,77.1,74,
A100080702,南投縣,鹿谷鄉,426620.52,390757.86,439139.17,439829.30,455611.36,458704.38,479225.34,476810.12,457645.89,476690.69,460290.53,387440.86,365830.3466,311361.0756,395270.8113,375606.4122,415702.6643,403572.1541,433004.4394,380575.22,376622.7177,370715.1265,363561.3744,392439.5217,363235.73,321967.40,375647.36,371096.21,404700.59,390983.89,425697.60,399753.06,389452.14,385339.89,375945.87,378361.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
